accession_number,isXBRL,cost_of_goods_sold,operating_expenses,operating_income,earnings_per_share_basic,earnings_per_share_diluted,pretax_income,net_income,income_taxes,interest_expense,revenue,sga_expenses,accounts_payable,accounts_receivable,current_liabilities,noncurrent_liabilities,property_plant_and_equipment_net,assets,noncurrent_assets,current_assets,short_term_investments,long_term_debt,cash_and_cash_equivalents,liabilities,inventory,cash_end_of_period,depreciation_and_amortization,net_cash_from_financing_activities,net_cash_from_operating_activities,net_cash_from_investing_activities,capital_expenditures,stockholders_equity,goodwill,gross_profit,accumulated_other_comprehensive_income
0001047469-11-006302,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,NonrecourseLongTermDebtCurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,
0001047469-12-007300,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,RecourseLongTermDebtNoncurrent,AssetsCurrent,LiabilitiesCurrent,NonrecourseLongTermDebtCurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,
0001047469-13-007797,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
0001047469-14-006243,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
0001047469-15-006136,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,NetIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,SaleLeasebackTransactionNetProceedsInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
0001047469-16-014299,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,NetIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,OtherLiabilitiesAndDeferredIncome,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
0001047469-17-004528,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,NetIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,OtherLiabilitiesAndDeferredIncome,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
0001047469-18-004978,1,CostOfServices,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,NetIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesAndDeferredIncome,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,RestrictedCashAndCashEquivalentsAtCarryingValue,OtherLiabilitiesAndDeferredIncome,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
0001047469-19-004266,1,CostOfGoodsAndServicesSold,CostsAndExpenses,OperatingIncomeLossIncludingIncomeLossFromEquityMethodInvestments,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,NetIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,RevenueFromContractWithCustomerIncludingAssessedTax,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AccountsReceivableNetCurrent,OtherLiabilities,OtherLiabilities,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,RestrictedCashAndCashEquivalentsAtCarryingValue,OtherLiabilities,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
0001104659-20-085310,1,,CostsAndExpenses,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,NetIncomeLoss,OtherNonoperatingIncomeExpense,InterestExpense,RevenueFromContractWithCustomerIncludingAssessedTax,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,ReceivablesNetCurrent,OtherLiabilities,OtherLiabilities,PropertyPlantAndEquipmentNet,Assets,OtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,RestrictedCashAndCashEquivalentsAtCarryingValue,OtherLiabilities,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
0001104659-21-094125,1,,CostsAndExpenses,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,NetIncomeLoss,OtherNonoperatingIncomeExpense,InterestExpense,RevenueFromContractWithCustomerIncludingAssessedTax,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,ReceivablesNetCurrent,OtherLiabilities,OtherLiabilities,PropertyPlantAndEquipmentNet,Assets,OtherAssetsNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,RestrictedCashAndCashEquivalentsAtCarryingValue,OtherLiabilities,InventoryNet,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,
0000950123-11-014726,1,,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueServicesNet,SellingExpense,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtNoncurrent,Cash,StockholdersEquity,AirlineRelatedInventories,NetCashProvidedByUsedInOperatingActivities,Depreciation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,,StockholdersEquity,,,
0001193125-12-063516,1,CostOfServicesCatering,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueServicesNet,SellingExpense,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtNoncurrent,Cash,StockholdersEquity,AirlineRelatedInventoryNet,NetCashProvidedByUsedInOperatingActivities,Depreciation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,,StockholdersEquity,,,
0000006201-13-000023,1,CostOfServicesCatering,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueServicesNet,SellingExpense,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtNoncurrent,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,Depreciation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,,StockholdersEquity,,,
0000006201-14-000004,1,,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueServicesNet,SellingExpense,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtAndCapitalLeaseObligations,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,,StockholdersEquity,Goodwill,,
0001193125-15-061145,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueServicesNet,,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtAndCapitalLeaseObligations,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,MainlineAndExpressDepreciationAndAmortization,SaleLeasebackTransactionNetProceedsFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,Goodwill,,
0001193125-16-474605,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueNet,,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtAndCapitalLeaseObligations,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,MainlineAndExpressDepreciationAndAmortization,SaleLeasebackTransactionNetProceedsFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,Goodwill,,
0001193125-17-051216,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueNet,,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtAndCapitalLeaseObligations,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,MainlineAndExpressDepreciationAndAmortization,SaleLeasebackTransactionNetProceedsFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,Goodwill,,
0000006201-18-000009,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueNet,,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtAndCapitalLeaseObligations,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,MainlineAndExpressDepreciationAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipmentAndSaleLeaseBackTransactions,StockholdersEquity,Goodwill,,
0000006201-19-000009,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,RevenueFromContractWithCustomerExcludingAssessedTax,,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtAndCapitalLeaseObligations,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,MainlineAndExpressDepreciationAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipmentAndSaleLeaseBackTransactions,StockholdersEquity,Goodwill,,
0000006201-20-000023,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,RevenueFromContractWithCustomerExcludingAssessedTax,,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtAndCapitalLeaseObligations,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,MainlineAndExpressDepreciationAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,SaleLeasebackTransactionNetProceedsInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,Goodwill,,
0000006201-21-000014,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,RestructuringAndOtherExpenseIncomeMainline,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,RevenueFromContractWithCustomerExcludingAssessedTax,,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAccumulatedDepreciationAndAmortization,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtAndCapitalLeaseObligations,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,MainlineAndExpressDepreciationAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,Goodwill,,
0001193125-14-098407,1,CostOfGoodsSold,,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,OtherNonoperatingIncomeExpense,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,OtherLiabilitiesNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,Goodwill,GrossProfit,AccumulatedOtherComprehensiveIncomeLossNetOfTax
0001193125-15-095828,1,CostOfGoodsSold,OtherCostAndExpenseOperating,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,OtherNonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,OtherLiabilitiesNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,Goodwill,GrossProfit,AccumulatedOtherComprehensiveIncomeLossNetOfTax
0001564590-16-015157,1,CostOfGoodsAndServicesSold,OtherCostAndExpenseOperating,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,OtherNonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,RestrictedCashAndCashEquivalents,StockholdersEquity,InventoryNet,ProceedsFromRepaymentsOfRestrictedCashFinancingActivities,DepreciationDepletionAndAmortization,ProceedsFromRepaymentsOfRestrictedCashFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,GrossProfit,AccumulatedOtherComprehensiveIncomeLossNetOfTax
0001564590-17-004264,1,CostOfGoodsAndServicesSold,OtherCostAndExpenseOperating,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,OtherNonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,NotesPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,RestrictedCashAndCashEquivalents,StockholdersEquity,InventoryNet,ProceedsFromRepaymentsOfRestrictedCashFinancingActivities,DepreciationDepletionAndAmortization,SaleLeasebackTransactionGrossProceedsFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,GrossProfit,AccumulatedOtherComprehensiveIncomeLossNetOfTax
